q0 qdot0 tau0 q1 qdot1 tau1 q2 qdot2 tau2 q3 qdot3 tau3 q4 qdot4 tau4 q5 qdot5 tau5 q6 qdot6 tau6 q7 qdot7 tau7 q8 qdot8 tau8 q9 qdot9 tau9 q10 qdot10 tau10 q11 qdot11 tau11 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0.962841 0.415361 1.39358 -4.26573 0 0 0 0 0 0 0.536233 0 10.6892 0.499484 0 7.85564 0 0 0 0.837629 0 0.266157 -1.89346 0 -39.8953 -0.846986 0 -12.5252 0 0 0 1.90692 0 0.594718 
0 0 0.911516 0.415361 1.39358 -4.2011 0 0 0 0 0 0 0.536233 0 10.6962 0.499484 0 8.08899 0 0 0 0.837629 0 0.266157 -1.89346 0 -39.5298 -0.846986 0 -12.3922 0 0 0 1.90692 0 0.594718 
0 0 0.911516 0.415361 1.39358 -4.2011 0 0 0 0 0 0 0.536233 0 10.6962 0.499484 0 8.08899 0 0 0 0.837629 0 0.266157 -1.89346 0 -39.5298 -0.846986 0 -12.3922 0 0 0 1.90692 0 0.594718 
0 0 1.75289 5.70112 3.31473 41.8131 0 0 0 0 0 0 -0.699816 0 -6.08931 -0.705488 0 -10.8794 0 0 0 0.794487 0 0.256091 -2.60976 0 -24.5943 -0.814833 0 5.45357 0 0 0 2.63845 0 0.819705 
0 0 1.68979 5.70112 3.31473 41.8737 0 0 0 0 0 0 -0.699816 0 -6.13585 -0.705488 0 -10.6896 0 0 0 0.794487 0 0.256091 -2.60976 0 -24.3207 -0.814833 0 5.47943 0 0 0 2.63845 0 0.819705 
0 0 1.68979 5.70112 3.31473 41.8737 0 0 0 0 0 0 -0.699816 0 -6.13585 -0.705488 0 -10.6896 0 0 0 0.794487 0 0.256091 -2.60976 0 -24.3207 -0.814833 0 5.47943 0 0 0 2.63845 0 0.819705 
0 0 1.68979 5.70112 3.31473 41.8737 0 0 0 0 0 0 -0.699816 0 -6.13585 -0.705488 0 -10.6896 0 0 0 0.794487 0 0.256091 -2.60976 0 -24.3207 -0.814833 0 5.47943 0 0 0 2.63845 0 0.819705 
0 0 2.45471 3.67553 5.0155 -20.0977 0 0 0 0 0 0 -2.19037 0 -14.5177 -2.02639 0 -19.8569 0 0 0 0.553042 0 0.182952 -2.98964 0 -22.8658 -0.581947 0 11.4697 0 0 0 3.02884 0 0.939042 
0 0 2.38331 3.67553 5.0155 -20.0452 0 0 0 0 0 0 -2.19037 0 -14.6123 -2.02639 0 -19.7201 0 0 0 0.553042 0 0.182952 -2.98964 0 -22.6999 -0.581947 0 11.3887 0 0 0 3.02884 0 0.939042 
0 0 2.38331 3.67553 5.0155 -20.0452 0 0 0 0 0 0 -2.19037 0 -14.6123 -2.02639 0 -19.7201 0 0 0 0.553042 0 0.182952 -2.98964 0 -22.6999 -0.581947 0 11.3887 0 0 0 3.02884 0 0.939042 
0 0 -1.08613 8.83036 6.53902 43.2014 0 0 0 0 0 0 -2.88602 0 -17.8828 -3.36159 0 -21.8076 0 0 0 0.38618 0 0.133149 -3.17799 0 -15.3982 -0.423307 0 5.48866 0 0 0 3.22281 0 0.998244 
0 0 -1.05071 8.83036 6.53902 43.1709 0 0 0 0 0 0 -2.88602 0 -17.8594 -3.36159 0 -21.9077 0 0 0 0.38618 0 0.133149 -3.17799 0 -15.54 -0.423307 0 5.48 0 0 0 3.22281 0 0.998244 
0 0 -1.05071 8.83036 6.53902 43.1709 0 0 0 0 0 0 -2.88602 0 -17.8594 -3.36159 0 -21.9077 0 0 0 0.38618 0 0.133149 -3.17799 0 -15.54 -0.423307 0 5.48 0 0 0 3.22281 0 0.998244 
0 0 -0.013618 3.40902 6.89924 -51.0607 0 0 0 0 0 0 -4.25165 0 -28.1001 -3.27486 0 -12.5301 0 0 0 0.0477965 0 0.0275619 -3.6249 0 -25.7379 -0.0872207 0 11.6686 0 0 0 3.68364 0 1.13861 
0 0 -0.0120783 3.40902 6.89924 -51.0638 0 0 0 0 0 0 -4.25165 0 -28.1067 -3.27486 0 -12.5452 0 0 0 0.0477965 0 0.0275619 -3.6249 0 -25.7646 -0.0872207 0 11.6513 0 0 0 3.68364 0 1.13861 
0 0 -0.0120783 3.40902 6.89924 -51.0638 0 0 0 0 0 0 -4.25165 0 -28.1067 -3.27486 0 -12.5452 0 0 0 0.0477965 0 0.0275619 -3.6249 0 -25.7646 -0.0872207 0 11.6513 0 0 0 3.68364 0 1.13861 
0 0 -0.0120783 3.40902 6.89924 -51.0638 0 0 0 0 0 0 -4.25165 0 -28.1067 -3.27486 0 -12.5452 0 0 0 0.0477965 0 0.0275619 -3.6249 0 -25.7646 -0.0872207 0 11.6513 0 0 0 3.68364 0 1.13861 
0 0 -0.112671 8.29824 7.78132 30.8839 0 0 0 0 0 0 -3.59901 0 -10.925 -4.12511 0 -24.5034 0 0 0 0.225458 0 0.0883043 -3.65667 0 -19.1879 -0.280224 0 2.1423 0 0 0 3.7162 0 1.14863 
0 0 -0.11215 8.29824 7.78132 30.8821 0 0 0 0 0 0 -3.59901 0 -10.9303 -4.12511 0 -24.513 0 0 0 0.225458 0 0.0883043 -3.65667 0 -19.2055 -0.280224 0 2.12941 0 0 0 3.7162 0 1.14863 
0 0 -0.11215 8.29824 7.78132 30.8821 0 0 0 0 0 0 -3.59901 0 -10.9303 -4.12511 0 -24.513 0 0 0 0.225458 0 0.0883043 -3.65667 0 -19.2055 -0.280224 0 2.12941 0 0 0 3.7162 0 1.14863 
0 0 -0.0690787 4.11442 7.9821 -46.3006 0 0 0 0 0 0 -4.66364 0 -27.9272 -4.06142 0 -16.9746 0 0 0 -0.117011 0 -0.0196306 -3.92112 0 -24.9586 0.0632773 0 12.7941 0 0 0 3.99002 0 1.2317 
0 0 -0.0695057 4.11442 7.9821 -46.2993 0 0 0 0 0 0 -4.66364 0 -27.9237 -4.06142 0 -16.9679 0 0 0 -0.117011 0 -0.0196306 -3.92112 0 -24.9466 0.0632773 0 12.8026 0 0 0 3.99002 0 1.2317 
0 0 -0.0695057 4.11442 7.9821 -46.2993 0 0 0 0 0 0 -4.66364 0 -27.9237 -4.06142 0 -16.9679 0 0 0 -0.117011 0 -0.0196306 -3.92112 0 -24.9466 0.0632773 0 12.8026 0 0 0 3.99002 0 1.2317 
