q torque X Z Y vX vZ pasEffectue 
0.000000 0.000000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 -0.000065 0.003662 0.991207 -0.003988 -0.047506 0
0.025425 2546.874034 -0.000065 0.003662 0.991207 -0.004162 -0.049446 0
0.025425 2546.874034 -0.000065 0.003662 0.991207 -0.004162 -0.049446 0
0.025425 2546.874034 -0.000098 0.004589 1.001597 -0.002068 -0.060200 0
0.031778 3586.542620 -0.000098 0.004589 1.001597 -0.002068 -0.060635 0
0.031778 3586.542620 -0.000098 0.004589 1.001597 -0.002068 -0.060635 0
0.031778 3586.542620 -0.000098 0.004589 1.001597 -0.002068 -0.060635 0
0.031778 3586.542620 -0.000067 0.005644 1.008737 0.001835 -0.068933 0
0.032883 2451.174018 -0.000067 0.005644 1.008737 0.002001 -0.069254 0
0.032883 2451.174018 -0.000067 0.005644 1.008737 0.002001 -0.069254 0
0.032883 2451.174018 0.000014 0.006658 1.013481 0.004868 -0.067538 0
0.034637 3161.118631 0.000014 0.006658 1.013481 0.004957 -0.067417 0
0.034637 3161.118631 0.000014 0.006658 1.013481 0.004957 -0.067417 0
0.034637 3161.118631 0.000112 0.007721 1.017429 0.005954 -0.071504 0
0.036350 4117.263874 0.000112 0.007721 1.017429 0.005954 -0.071638 0
0.036350 4117.263874 0.000112 0.007721 1.017429 0.005954 -0.071638 0
0.036350 4117.263874 0.000112 0.007721 1.017429 0.005954 -0.071638 0
0.036350 4117.263874 0.000209 0.008710 1.020741 0.006055 -0.068030 0
0.033976 3522.751832 0.000209 0.008710 1.020741 0.006055 -0.067827 0
0.033976 3522.751832 0.000209 0.008710 1.020741 0.006055 -0.067827 0
0.033976 3522.751832 0.000298 0.009723 1.023299 0.005597 -0.070507 0
0.037677 4518.117869 0.000298 0.009723 1.023299 0.005597 -0.070581 0
0.037677 4518.117869 0.000298 0.009723 1.023299 0.005597 -0.070581 0
0.037677 4518.117869 0.000374 0.010689 1.025505 0.004941 -0.068661 0
0.037965 4066.136450 0.000374 0.010689 1.025505 0.004941 -0.068533 0
0.037965 4066.136450 0.000374 0.010689 1.025505 0.004941 -0.068533 0
0.037965 4066.136450 0.000374 0.010689 1.025505 0.004941 -0.068533 0
0.037965 4066.136450 0.000434 0.011711 1.027191 0.004048 -0.072991 0
0.044742 4630.749170 0.000434 0.011711 1.027191 0.004048 -0.073143 0
0.044742 4630.749170 0.000434 0.011711 1.027191 0.004048 -0.073143 0
0.044742 4630.749170 0.000481 0.012722 1.028693 0.003292 -0.073398 0
0.050748 4250.847031 0.000481 0.012722 1.028693 0.003292 -0.073364 0
0.050748 4250.847031 0.000481 0.012722 1.028693 0.003292 -0.073364 0
0.050748 4250.847031 0.000513 0.013810 1.029795 0.002469 -0.079082 0
0.057159 4549.403781 0.000513 0.013810 1.029795 0.002469 -0.079287 0
0.057159 4549.403781 0.000513 0.013810 1.029795 0.002469 -0.079287 0
0.057159 4549.403781 0.000513 0.013810 1.029795 0.002469 -0.079287 0
0.057159 4549.403781 0.000534 0.014900 1.030850 0.001764 -0.080338 0
0.062332 4179.818158 0.000534 0.014900 1.030850 0.001764 -0.080336 0
0.062332 4179.818158 0.000534 0.014900 1.030850 0.001764 -0.080336 0
0.062332 4179.818158 0.000544 0.016066 1.031586 0.001183 -0.085994 0
0.064008 4389.841081 0.000544 0.016066 1.031586 0.001183 -0.086193 0
